,날짜,리뷰,응답날짜,응답,별점,유저명,공감수
102,2018-02-27 09:38:01,핸폰이 자기명의 아닌 사람들은 어떻하라고   어러운 아이핀으로 하라고 하세요 정말 실망이네요  간단하게 가입 하게 해주세요,2018-03-06 03:47:55,"안녕하세요. 서울시민카드입니다.

서울시민카드는 실명 확인이 필요한 서비스를 제공하고있습니다.
그에 따라 부득이하게 본인 명의 휴대폰 또는 아이핀을 사용하여 실명 확인 후 서울시민카드를 발급하고 있습니다.
본인 명의 휴대폰이 아니신 경우, 범용공인인증서를 통해 한국인터넷진흥원 홈페이지 또는 여러 타 기관에서 아이핀을 발급하여 사용하실 수 있습니다.

고맙습니다.",1,박알아서 뭐하게,3
103,2018-06-16 02:32:56,남산도서관개포도서관등 큰데는 안되고..뭐가 좋은거죠?,2018-06-26 02:28:35,"안녕하세요. 서울시민카드입니다.

현재는 세종문화회관, 서울시립미술관, 서울시립교향악단, 서울역사박물관, 녹색장난감도서관, 서울상상나라, 서울도서관, 잠실에 위치한 서울체육시설관리사업소의 시설, 서울시립 청소년수련관 등의 시립 시설과 강서구 도서관, 노원구 도서관, 서초구 도서관, 동작구 도서관, 동작구 체육시설 등의 구립시설을 서울시민카드 하나로 이용하실 수 있습니다. 지속적으로사용 가능한 시립 시설과 구립 시설을 추가하고 있습니다.

남산도서관과 개포도서관은 서울특별시 교육청 시설로 통합 시설에 포함되어 있지는 않습니다.
변경 사항이 있으면 알려드리도록 하겠습니다.

리뷰 감사드리며 지속적인 관심 부탁드립니다.",1,이지니,1
104,2018-01-07 06:52:52,서울이하나로.,,,5,박티처,1
105,2018-01-05 11:19:17,서울시민만 가입가능해요?,2018-01-09 00:56:06,"안녕하세요. 서울시민카드입니다.

서울시민카드는 대한민국에 거주하는 모든 분이 이용하실 수 있습니다.
회원가입 후 서울시의 다양한 시설 정보를 확인하고 이용하세요.

고맙습니다. 새해 복 많이 받으세요.",4,Google 사용자,0
106,2019-05-25 00:45:18,개느려,2019-09-04 07:15:10,"안녕하세요. 서울시민카드입니다.

이용에 불편을 드려 죄송합니다.

네트워크 속도에 따라 느린 현상이 발견되어 조치하였습니다.

지속적인 관심 부탁드립니다.",1,김네,0
107,2018-09-18 01:32:10,굿굿~,2018-09-27 07:59:55,"안녕하세요. 서울시민카드입니다.

따듯한 리뷰 감사드립니다.

지속적인 관심 부탁드립니다.",5,박화진,0
108,2019-05-16 06:51:36,좋습니다,2019-09-04 07:14:31,"안녕하세요. 서울시민카드입니다.

리뷰 감사드립니다.",5,강지연,0
109,2019-01-31 16:52:35,굿,,,5,Google 사용자,0
110,2018-10-16 02:07:53,좋아요,2018-10-16 03:42:42,"안녕하세요. 서울시민카드입니다.
리뷰 감사드립니다.",5,배종은,0
111,2018-10-16 02:09:20,좋습니다,2018-10-16 03:42:51,"안녕하세요. 서울시민카드입니다.
리뷰 감사드립니다.",5,Google 사용자,0
112,2017-12-14 08:23:34,도서관앱입니까? 서울시의 그 많은 앱을 이거하나로 통일하면 나머지 앱들은 다 폐기되야겠죠? 앱만든다고  예산낭비되는 일은 없었으면 합니다.,2018-01-05 09:05:27,"안녕하세요. 서울시민카드입니다.
관심 어린 소중한 리뷰 감사드립니다.

세종문화회관, 서울시립미술관, 서울시립교향악단, 서울역사박물관 등 도서관 이외의 시설도 카드를 등록하여 서울시민카드 하나로 이용하실 수 있습니다. 이 외에도  약 670여 개의 서울시 시설 정보를 확인하실 수 있습니다.
통합하여 사용 가능한 시설과 혜택을 계속해서 추가해 나가도록 하겠습니다. 

고맙습니다. 새해 복 많이 받으세요.",2,JC Kwon,3
113,2017-12-22 13:10:06,갤럭시S8플러스 인데 앱을 설치하고 본인인증후 가입하려는데 양식자체가 사라지며 가입을 할수가없네요 벌써 몇번째  제거하고설치했는데도 마찬가지입니다,2018-01-05 09:09:04,"안녕하세요. 서울시민카드입니다.
사용에 불편을 드려 죄송합니다.

몇몇 스마트폰에서 회원가입 양식이 부분적으로 가려지는 현상이 발견되어 수정하였습니다.
다시 한번 불편함을 드려 죄송합니다.

앞으로 지속적인 관심 부탁드리겠습니다.

고맙습니다. 새해 복 많이 받으세요.",1,박재형,1
114,2017-12-11 07:33:28,사용처가 아직...,2018-01-05 08:53:58,"안녕하세요. 서울시민카드입니다.
소중한 리뷰 감사드립니다.

서울시민카드에서는 사용 가능한 시설과 혜택을 계속해서 추가할 예정입니다. 지속적인 관심 부탁드리겠습니다.
고맙습니다. 새해 복 많이 받으세요.",3,noon snow,1
115,2018-01-01 05:28:03,본인인증 확인 안됨. 뭘 어쩌라고?,2018-01-05 09:12:01,"안녕하세요. 서울시민카드입니다.

사용에 불편을 드려 죄송합니다.
번거로우시겠지만 본인 인증 관련하여 이상 동작 현상을 설명해 주시면 확인 후 조치하도록 하겠습니다.

고맙습니다. 새해 복 많이 받으세요.",1,최윤성,0
116,2017-12-14 08:39:42,앞으로 더 많은 시설에서 사용할 수 있으면 좋겠습니다.,2018-01-05 09:06:47,"안녕하세요. 서울시민카드입니다.
소중한 리뷰 감사드립니다.
사용 가능한 시설과 혜택을 계속해서 추가해 나가도록 하겠습니다. 지속적인 관심 부탁드리겠습니다.
고맙습니다. 새해 복 많이 받으세요.",5,Google 사용자,0
117,2017-12-11 03:27:57,완전 기대합니다,2018-01-05 09:12:27,"안녕하세요. 서울시민카드입니다.
소중한 리뷰 감사드립니다.
지속적인 관심 부탁드리겠습니다.
고맙습니다. 새해 복 많이 받으세요.",5,Pink Star,0
118,2019-10-22 06:48:40,안열린,2019-10-25 02:25:55,"안녕하세요. 서울시민카드 입니다.

불편한 사항 알려주시면 보완하도록 하겠습니다.

리뷰 감사드립니다.",3,슬기로운드래곤,0
