,날짜,리뷰,응답날짜,응답,별점,유저명,공감수
30,2021-07-29 09:52:53,본인인증이 자꾸 실패하는데 브라우저 설정 내 쿠키활용을 제한했냐는게 무슨 말인가요...? -> 시간 좀 지나 다시 시도했더니 되었어요.,2022-02-14 03:03:07,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 본인인증 관련해서는 (주)나이스신용평가정보 고객센터 (1600-1522)로 문의 주시면 좀 더 빠르게 처리가 가능하십니다. 감사합니다.,4,km lee,13
31,2021-10-19 10:37:58,"도서관 접속이 안됩니다. ""이 사이트에서는 오래된 보안 설정이 사용되므로 개인정보를 이사트에 발송할경우 정보가 유출될수있음"" 으로 떠요.",2022-02-10 08:06:30,안녕하세요. 서울시민카드 입니다. 불편한 사항 확인 후 보완하도록 하겠습니다. 리뷰 감사드립니다.,1,셩,1
32,2020-09-15 03:53:01,본인인증 시도 시 쿠키 허용하고 진행하라는 오류가 뜨는데 어떻게 해야 하나요? 문의하는 곳이 없어서 여기 남깁니다.아래 메뉴얼은 잘못된경로라고 연결되어 해결방법이 없습니다.,2020-10-06 09:07:43,"안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 해당 부분에 대해서는 현재 확인이 되지 않고 있습니다. 
같은 문제가 계속 발생 시 본인인증 관련해서는 (주)나이스신용평가정보 고객센터 (1600-1522)로 문의 주시면 좀 더 빠르게 처리가 가능하십니다.  감사합니다.",3,jeep sa park,3
33,2021-08-25 08:04:14,휴대폰 본인인증란에서 보안숫자 입력이 안됩니다 한자리만 계속 입력되네요,2021-09-28 06:24:52,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 본인인증 관련해서는 (주)나이스신용평가정보 고객센터 (1600-1522)로 문의 주시면 좀 더 빠르게 처리가 가능하십니다. 감사합니다.,1,LEE EH,0
34,2020-03-20 08:08:53,아니 영화관말고 먹을것 이런 곳 크게 할인해줘요영화관은 잘 모른다하고 통신사서할인많음 비추실망,2020-04-17 05:18:36,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,1,만능맨,0
35,2022-03-28 03:04:02,아이핀 인증이 안됩니다.. 특정ip차단이라고 자꾸 나오네요,2022-04-18 08:35:41,"안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다.
같은 문제가 계속 발생 시 본인인증 관련해서는 (주)나이스신용평가정보 고객센터 (1600-1522)로 문의 주시면 좀 더 빠르게 처리가 가능하십니다. 감사합니다.",2,경종히트테란,0
36,2019-09-14 06:10:24,안드로이드 버전 10에서 작동이 안됩니다. 확인 바랍니다.,2019-09-16 06:32:05,"안녕하세요. 서울시민카드 입니다.

문의 주신 안드로이드 버전 10 관련 내용 확인하였습니다.

보완 후 다시 답변 드리겠습니다.

리뷰 감사드립니다.",3,고해성사,1
37,2019-05-27 04:32:48,이용 범위와 혜택이 많아요^^진작 알았으면...,2019-09-04 07:15:34,"안녕하세요. 서울시민카드입니다.

리뷰 감사드립니다.",5,BuYang Huh,0
38,2019-07-06 15:27:05,안드로이드 최신버전에서 앱 아이콘 제대로 나오게 좀 해주세요..,2019-09-06 00:40:03,"안녕하세요 서울시민카드입니다. 
이용에 불편을 드려 죄송합니다. 앱 성능개선을 위한 작업도중  해당 현상이 일시적으로 발생하였으나 현재는 조치가 완료된 상태입니다. 감사합니다.",3,Piod S. Song,0
39,2018-12-19 07:31:50,왜 설치에서 대기중이라고만..다른 폰은 되는지 노트 8입니다...,2019-09-04 08:15:15,"안녕하세요. 서울시민카드입니다.

우선 이용에 불편을 드려 죄송합니다. 
확인 후 조치하겠습니다.",1,연재흠,1
40,2019-08-19 15:21:19,모범납세자랑 똑같이 일반인들도 똑같이 혜택주세요 일반인 들은 조금 섭섭하네요...♥글고무료음료나 무료 커피가 많아졌음 좋겠어요 무료 혜택이 많으면 좋겠네요 그러길 빌면서 별 5개!!! 제발 년 마다 무료 음료나 커피가 많았으면 특히 동대문점 커피 무료도 년마다 있엇음 하네요ㅠㅜㅜㅜ💞 좋은 혜택이 얼른 많이 생기면.. ♥-♥,2019-09-04 07:22:58,"안녕하세요. 서울시민카드 입니다.

소중한 의견 감사드립니다.

지속적으로 서울시민에게 혜택을 제공드릴 수 있도록 노력하겠습니다.",5,한별,2
41,2019-02-08 02:27:11,안되네요 무작정 만들어서 사용가능하다고 홍보하지 말고 될수있게 만든다음 홍보하세요 어플 삭제합니다,2019-09-04 07:03:47,"안녕하세요. 서울시민카드입니다.

우선 이용에 불편을 드려 죄송합니다. 
불편하신 부분을 자세히 알려 주시면 확인 후 조치하도록 하겠습니다.

리뷰 감사드립니다.",1,김상이,4
42,2020-01-06 03:21:42,버스에서 나오는 TV보고 가입했어요. 카드 없어도 되서 지갑이 얇아 지고 좋을것 같아요.,2020-02-06 05:21:01,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,4,신상선,1
43,2021-08-10 11:40:58,사용자인증 안되는데요. 웹뷰 컨트롤하기 힘들죠. 개발자분 힘내시구요. 잘 안되시면 연락주세요 도와드릴께요. 갤노5 이구여. 통신사선택후 다음으로 못넘어갑니다...,2021-09-28 06:22:42,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 본인인증 관련해서는 (주)나이스신용평가정보 고객센터 (1600-1522)로 문의 주시면 좀 더 빠르게 처리가 가능하십니다. 감사합니다.,1,Sungkun Cho,7
44,2022-03-07 00:58:34,왜 정부기관에서 앱을 만들면 이럴까요? 기본적인 기능 테스트도 안하나요. 만지기만 해도 튕겨요,2022-03-07 04:09:15,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 앱 삭제 후 재설치 해보신 후 동일한 문제가 계속 발생 시 1:1문의 게시판(우측 상단 메뉴(≡) → 고객센터 → 1:1문의)을 통해 문의 주세요. 감사합니다.,1,Daejong Yoon,0
45,2020-12-26 03:29:56,강동구립도서관 정회원 가입신청 버튼 활성화돼있긴한데 누르면 안넘어감,2021-01-08 09:39:35,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 해당 부분에 대해서는 확인이 되지 않고 있습니다. 같은 문제가 계속 발생 시 1:1문의 게시판을 통해 문의주세요. 감사합니다.,1,김희연,1
46,2022-02-19 03:25:42,"도서대출 기한을 연장했는데, 반납기한 안내를 보내는군요... 안 되겠지요?",2022-02-28 06:36:34,안녕하세요. 서울시민카드 입니다. 보다 나은 서울시민카드가 될 수 있도록 하겠습니다. 감사합니다.,1,Joong-min - Dorje Kim,0
47,2019-10-11 08:16:12,서울의 모든 편의시설에 접근이 용이합니다 강추드립니다,2019-10-14 00:28:14,안녕하세요. 서울시민카드입니다. 리뷰 감사드립니다.,5,카사마리,9
48,2018-09-19 00:23:57,인증 어플은 하나로 통일해 주시길...뭐 또 이거 깔아야 한다고 해서 포기함,2018-09-27 08:04:47,"안녕하세요. 서울시민카드입니다.

서울시민카드는 서울시 시립, 구립 시설의 회원 카드를 통합하여 사용하실 수 있는 서비스를 제공하고 있습니다.
시민의 소중한 개인정보보호를 위해 본인 인증 후에 사용이 가능하도록 되어 있습니다.

깊은 양해 부탁드립니다.",2,Eric CHOI,13
49,2021-11-02 04:37:49,시설연동 안된다고 계속 뜨는거 언제 해결해주세요?,2022-02-10 08:09:30,안녕하세요. 서울시민카드 입니다. 관련 내용에 대해서는 확인 후 빠른 처리 하도록 하겠습니다. 감사합니다.,1,체리,0
50,2019-04-25 23:00:22,"일반 회사에서 이런앱 개발했으면 몇번이고 사용자의 의견 듣고 수정했을꺼같아요 .. 이렇게 히니 공무원 소리를 듣지않을까합니다 원래 도서관카드를 쓰다가 함께 깔아봤는데, 쓰던 도서관카드를 썼는데 .. 책 대여날짜 .반납날짜.도서목록도 다르네요. 두개가 연동이되는건지 모르겠네요. 그리고 제가 아이들 도서관 카드만들면서 전화가 없어서 제 전번으로 등록했는데.전화번호때문인지...시민카드는 제아이와 제께 함께 이상하게나오네요. 앱 어디에다 남겨야할지몰라 여기에 남깁니다.",2019-09-04 10:49:30,"안녕하세요. 서울시민카드입니다.

이용에 불편을 드려 죄송합니다.

확인해보겠습니다.",1,JR Lee,17
51,2018-12-02 07:23:50,도서관카드를 사용할려 하는데 대기중만 뜨고 사용해보니 회원정보가 없다는데 어떻게 해야 하나요?,2019-01-29 06:49:37,"안녕하세요. 서울시민카드입니다.

우선 사용에 불편을 드려 죄송합니다.  도서관에 등록되어 있는 회원 정보와 서울시민카드의 회원 정보가 일치하여야 회원 확인이 가능합니다. 사용하시고 계신 도서관의 회원 정보 확인 부탁드립니다.

고맙습니다.",3,천우진,0
52,2021-04-09 10:04:05,도서관 카드 찾아다니느라 진땀 뺐는데 넘 좋아요♥ 반납일 언제인지 어디서 뭐 빌렸는지도 알려주고 개이득 왜 이제 알았는지ㅋㅋ,2021-04-12 08:43:06,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,LIM SUBIN,1
53,2021-04-05 08:01:53,여러 도서관 이용이 편리해요 ~,2021-04-06 09:22:15,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,gsoo so,1
54,2020-03-14 00:45:52,마포도서관 연동 가입이 안돼요 정회원가입이 실패했다고 다오고 잠시후 이용하라는데 잠시후에 해도 안돼네요 원인도 안나오고..시정해 주세요,2020-04-17 05:17:42,안녕하세요. 서울시민카드 입니다. 관련 내용에 대해서는 처리 완료 되었습니다. 감사합니다.,3,나동성,5
55,2021-07-23 23:30:17,로그아웃 기능 없는 거 실화입니까. 아니면 제가 못 찾는건가요,2021-09-28 06:19:04,"안녕하세요.
서울시민카드입니다.
서울시민카드는 휴대폰 1대에 본인인증 후 1인 사용자만 사용이 가능하도록 되어 있어서 로그인 및 로그아웃 기능은 없습니다.
따라서 사용중인 스마트폰에서 시민카드 사용자를 변경하려면 서울시민카드 앱을 삭제 후 재설치하여 본인인증 후 이용은 가능합니다.

감사합니다.",1,SOL SOL,0
56,2021-03-28 19:41:08,카드를 발급받으려고 본인인증하기를 4번이나 해도 제 폰으로 인증번호 전송이 안되네요. 도와주세요!!!,2021-03-29 02:38:03,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 본인인증 관련해서는 (주)나이스신용평가정보 고객센터 (1600-1522)로 문의 주시면 좀 더 빠르게 처리가 가능하십니다. 감사합니다.,3,김지연,1
57,2019-02-11 08:41:31,와..진짜 어이없고 짜증나고 시간아깝고 빡치는 앱이네요...깔았는데 힘들게 인증다하고 시작하려 하는데..ㅋ 아진짜..왜 자꾸 중지되냐고요..ㅋㅋ 이별점 한개도 아깝넼ㅋ 같은 서울시민인데 되는사람있고 안되는 사람있으면 안되는 사람은 서울시민 아니라는건가??ㅋㅋ깔지마세요 ㅋ,2019-09-04 08:14:41,"안녕하세요. 서울시민카드입니다.

우선 이용에 불편을 드려 죄송합니다. 
자세한 사항을 알려주시면 확인 후 조치하겠습니다.(120 문의)

리뷰 감사드립니다.",1,마도조사올그라운더,4
58,2019-02-12 14:06:24,연동도 안되는 쓰레기어플 . 무쓸모,2019-09-04 07:05:43,"안녕하세요. 서울시민카드입니다.

우선 이용에 불편을 드려 죄송합니다. 
연동이 안되시는 시설 문의 주시면 확인 후 조치하겠습니다.

리뷰 감사드립니다.",1,한정은,0
59,2019-06-06 11:28:53,서대문청소년수련관 바코드가 안됩니다.,2019-09-04 10:47:29,"안녕하세요 서울시민카드입니다.
이용에 불편을 드려 죄송합니다.
확인해보겠습니다.",1,조용진,1
60,2020-02-18 02:25:41,가입하려고 시도중 본인인증 후 다음화명으로 안넘어가고 되돌아갑니다,2020-02-21 02:04:23,안녕하세요. 서울시민카드 입니다.  정확한 확인을 위해 고객센터로 문의 부탁드립니다. 감사합니다.,1,천사토끼,0
61,2022-02-13 13:39:14,도서관은 잘검색되는데 공공서비스예약은 자꾸 튕겨 나오는 이유가 뭔가요?,2022-02-18 02:58:12,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 앱 삭제 후 재설치 해보신 후 동일한 문제가 계속 발생 시 1:1문의 게시판(우측 상단 메뉴(≡) → 고객센터 → 1:1문의)을 통해 문의 주세요. 감사합니다.,2,김정은,2
62,2019-07-28 10:41:19,다른게 아니라 궁금해서 물어보는건데요 그 19년8.31일까지 쓸수있는 CGV할인쿠폰때문에 물어보는건데 어디서 다운받을수있죠?,2019-09-04 07:17:12,"안녕하세요. 서울시민카드입니다.

서울시민카드 앱을 실행하셔서 쿠폰 메뉴에서 다운 받으실 수 있습니다.

리뷰 감사드립니다.",3,おシャキ,0
63,2020-10-07 05:49:51,굿 좋아요 내카드 다 모아서 편해요,2020-08-27 09:49:24,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,정가영,0
64,2022-02-03 07:01:02,편리해서 좋았어요~^^,2022-02-10 08:12:01,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,양정자,0
65,2021-12-21 05:17:33,은평구 시설가입을 주소찾기가 안되서 못하고 있어요,2022-02-10 08:10:05,안녕하세요. 서울시민카드 입니다. 관련 내용에 대해서는 확인 후 빠른 처리 하도록 하겠습니다. 감사합니다.,2,현,2
66,2022-04-15 14:45:47,태블릿에서도 되게 헤주세요,2022-04-18 08:33:06,안녕하세요. 서울시민카드입니다. 더욱더 편리한 서비스 제공을 위해 노력하겠습니다. 감사합니다.,5,여자모델,0
67,2019-10-20 05:24:03,잘사용하겠습니다^^,2019-10-25 02:25:08,"안녕하세요. 서울시민카드 입니다. 
리뷰 감사드립니다.",4,kookki Han,1
68,2018-12-07 15:40:59,회원가입하려는데 문자가 안오네요? 어떻게 해야하나요?,,,2,Sunhee Kim,0
69,2020-08-03 01:43:50,잘 사용하고 있습니다~!,2020-08-27 09:52:34,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,Gigeun Kim,1
70,2020-02-07 03:24:29,영등포구랑 동작구도 추가해주세요,2020-02-21 02:03:25,안녕하세요. 서울시민카드 입니다. 사용 가능한 지역 시설을 확대해 나갈 예정입니다.  관심 갖어주셔서 감사 드립니다.,3,Minyi Choi,0
71,2019-11-16 13:54:26,영화보는데 너무 좋아요 ㅎ,2020-02-06 05:20:48,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,장서준,1
72,2021-11-02 05:16:31,도서관 연동 안됨. 왜 만든것?,2022-02-10 08:11:46,안녕하세요. 서울시민카드 입니다. 보다 나은 서울시민카드가 될 수 있도록 하겠습니다. 감사합니다.,1,JJ,0
73,2021-03-19 08:17:11,서울시가 한 일중에 제일잘함,2021-03-29 01:37:40,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,20 18,0
74,2021-10-25 00:37:02,매우 유용해요~!,2022-02-10 08:07:24,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,Yong Hyuk LEE,0
75,2020-07-26 06:52:08,도서관에 책빌리러 왔는데 왜 안 열리는 건가요,2020-08-27 09:50:44,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 해당 부분 확인이 되지 않아 재발생 시 고객센터로 문의주세요. 감사합니다.,1,Lena Ju,1
76,2018-09-22 05:23:32,인증불편해서 안씁니다,2018-09-27 08:06:09,"안녕하세요. 서울시민카드입니다.

서울시민카드는 서울시 시립, 구립 시설의 회원 카드를 통합하여 사용하실 수 있는 서비스로, 시민의 소중한 개인정보보호를 위해 부득이하게 본인 인증 후에 사용이 가능하도록 되어 있습니다.

깊은 양해 부탁드립니다.",1,Minhyung Kang,0
77,2018-09-18 01:34:30,스마트카드 부자되는 길 입니다,2018-09-27 08:00:14,"안녕하세요. 서울시민카드입니다.

따듯한 리뷰 감사드립니다.

지속적인 관심 부탁드립니다.",5,박종필,0
78,2019-11-16 13:54:50,와!! 8000원 영화 할인쿠폰으로 친구들과 1000원에 영화봤어요 완전굿!!,2020-02-06 05:20:52,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,고선영,0
79,2021-07-08 03:24:35,이거로그인하는게없네요,2021-07-21 01:42:15,"안녕하세요. 서울시민카드 입니다. 서울시민카드는 휴대폰 1대에 본인인증 후 1인 사용자만 사용이 가능하도록 되어 있어서 로그인 및 로그아웃 기능은 없습니다. 따라서 사용중인 스마트폰에서 시민카드 사용자를 변경하려면 서울시민카드 앱을 삭제 후 재설치하여 본인인증 후 이용은 가능합니다. 보다 나은 서울시민카드가 될 수 있도록 하겠습니다. 감사합니다.
",1,앙기모띠,0
80,2019-06-03 13:34:35,서울 시민으로서 긍지를 가지고 사용하고자 합니다!,2019-09-04 07:15:40,"안녕하세요. 서울시민카드입니다.

리뷰 감사드립니다.",4,김정현,0
81,2021-07-26 09:57:10,서울시민카드공공도서관에서편한하게쓰고있습니다,2021-09-28 06:19:45,안녕하세요. 서울시민카드 입니다. 리뷰 감사드립니다.,5,엄희진,0
82,2021-03-27 16:26:50,앱켜도 흰화면만떠요,2021-03-29 02:45:45,안녕하세요. 서울시민카드 입니다. 우선 불편을 드려 죄송합니다. 해당 부분에 대해서는 확인이 되지 않고 있습니다. 앱을 전체 삭제 후 다시 설치 해보시기 바랍니다. 현재 Samsung Galaxy S20+ 5G 으로 정상 작동하고 있습니다. 감사합니다.,1,초코비,0
